['ahsaas', 'एहसास']
['ahasaas', 'एहसास']
['ahsas', 'एहसास']
['aihsaas', 'एहसास']
['aao', 'आओ']
['awo', 'आओ']
['aankhon', 'आँखों']
['aankhone', 'आँखों']
['ankhon', 'आँखों']
['ankho', 'आँखों']
['aakhon', 'आँखों']
['aankho', 'आँखों']
['aankhoon', 'आँखों']
['annkhon', 'आँखों']
['aankkhon', 'आँखों']
['ankhoon', 'आँखों']
['aakho', 'आँखों']
['aakhoon', 'आँखों']
['aankon', 'आँखों']
['aankhonn', 'आँखों']
['aaen', 'आएं']
['ambar', 'अम्बर']
['amber', 'अम्बर']
['ambara', 'अम्बर']
['angana', 'अँगना']
['angna', 'अँगना']
['anganaa', 'अँगना']
['aasaavari', 'आसावरी']
['aasha', 'आशा']
['asha', 'आशा']
['ashaa', 'आशा']
['aisaa', 'आशा']
['aankhein', 'आँखें']
['aankhen', 'आँखें']
['aankhey', 'आँखें']
['aakhein', 'आँखें']
['aakhen', 'आँखें']
['ankhen', 'आँखें']
['aankein', 'आँखें']
['aanchal', 'आँचल']
['aachal', 'आँचल']
['anchal', 'आँचल']
['aanchala', 'आँचल']
['aankh', 'आँख']
['ankh', 'आँख']
['aake', 'आँख']
['aakh', 'आँख']
['alag', 'अलग']
['ajeebsi', 'अजीब']
['ajeeb', 'अजीब']
['ajiib', 'अजीब']
['ajib', 'अजीब']
['aaj', 'आज']
['aj', 'आज']
['akelaa', 'अकेला']
['akela', 'अकेला']
['ab', 'अब']
['abb', 'अब']
['aandhi', 'आँधी']
['andhi', 'आँधी']
['aayi', 'आयी']
['aai', 'आयी']
['aah', 'आह']
['ah', 'आह']
['aakhir', 'आखिर']
['afsaane', 'अफ़साने']
['afsane', 'अफ़साने']
['afasaane', 'अफ़साने']
['afsaanon', 'अफ़साने']
['afsaanse', 'अफ़साने']
['apane', 'अपने']
['apne', 'अपने']
['appne', 'अपने']
['aapne', 'अपने']
['apanee', 'अपने']
['apney', 'अपने']
['aya', 'आया']
['aaya', 'आया']
['aayaa', 'आया']
['ayaa', 'आया']
['aaja', 'आया']
['aaaa', 'आया']
['afsaana', 'अफ़साना']
['afasaanaa', 'अफ़साना']
['afasaana', 'अफ़साना']
['afsaanaa', 'अफ़साना']
['afasana', 'अफ़साना']
['afsana', 'अफ़साना']
['aaye', 'आये']
['aye', 'आये']
['aake', 'आये']
['aae', 'आये']
['aayee', 'आये']
['aaja', 'आये']
['ayee', 'आये']
['aaj', 'आये']
['aave', 'आये']
['aai', 'आये']
['aayi', 'आये']
['aate', 'आये']
['aabaad', 'आबाद']
['abaad', 'आबाद']
['aabad', 'आबाद']
['apanon', 'अपनों']
['apnon', 'अपनों']
['apno', 'अपनों']
['apano', 'अपनों']
['aramaanon', 'अरमानों']
['armaano', 'अरमानों']
['aramanon', 'अरमानों']
['armaanon', 'अरमानों']
['aarmaanon', 'अरमानों']
['armano', 'अरमानों']
['armaanoki', 'अरमानों']
['armanon', 'अरमानों']
['apani', 'अपनी']
['apni', 'अपनी']
['apanii', 'अपनी']
['apnii', 'अपनी']
['apane', 'अपनी']
['apne', 'अपनी']
['appni', 'अपनी']
['aapni', 'अपनी']
['aarzoo', 'आरज़ू']
['aarzuu', 'आरज़ू']
['arazu', 'आरज़ू']
['aarzu', 'आरज़ू']
['aarazu', 'आरज़ू']
['aarazuu', 'आरज़ू']
['arzoo', 'आरज़ू']
['aarzo', 'आरज़ू']
['aanch', 'आँच']
['aach', 'आँच']
['aap', 'आप']
['app', 'आप']
['ap', 'आप']
['albele', 'अलबेले']
['alabele', 'अलबेले']
['asar', 'असर']
['asara', 'असर']
['aasar', 'असर']
['aati', 'आती']
['ati', 'आती']
['ahti', 'आती']
['aaraam', 'आराम']
['araam', 'आराम']
['aaram', 'आराम']
['anjaam', 'अंजाम']
['agni', 'अग्नि']
['arre', 'अरे']
['arey', 'अरे']
['are', 'अरे']
['arree', 'अरे']
['aare', 'अरे']
['aag', 'आग']
['agg', 'आग']
['ag', 'आग']
['aage', 'आगे']
['aaghe', 'आगे']
['age', 'आगे']
['aapako', 'आपको']
['appko', 'आपको']
['aapko', 'आपको']
['apako', 'आपको']
['aapakaa', 'आपका']
['aapka', 'आपका']
['aapaka', 'आपका']
['aapkaa', 'आपका']
['apaka', 'आपका']
['andhiyaari', 'अंधियारी']
['andhiyari', 'अंधियारी']
['apanaa', 'अपना']
['apnaa', 'अपना']
['apna', 'अपना']
['apana', 'अपना']
['appna', 'अपना']
['apnana', 'अपना']
['aapna', 'अपना']
['agar', 'अगर']
['aagar', 'अगर']
['aggar', 'अगर']
['aazaadi', 'आज़ादी']
['azaaadi', 'आज़ादी']
['azadi', 'आज़ादी']
['azaadi', 'आज़ादी']
['aazadi', 'आज़ादी']
['ant', 'अंत']
['anta', 'अंत']
['andhiyaare', 'अंधियारे']
['adiyal', 'अड़ियल']
['anban', 'अनबन']
['anaban', 'अनबन']
['appke', 'आपके']
['aapake', 'आपके']
['aapke', 'आपके']
['apke', 'आपके']
['appki', 'आपकी']
['aapki', 'आपकी']
['aapaki', 'आपकी']
['aapakii', 'आपकी']
['aansoo', 'आँसू']
['aansu', 'आँसू']
['aansuu', 'आँसू']
['aanso', 'आँसू']
['aasoo', 'आँसू']
['ansu', 'आँसू']
['aasu', 'आँसू']
['ansoo', 'आँसू']
['aasmaan', 'आसमाँ']
['aasamaan', 'आसमाँ']
['asaman', 'आसमाँ']
['asmaan', 'आसमाँ']
['aasaman', 'आसमाँ']
['aasamaa', 'आसमाँ']
['aasman', 'आसमाँ']
['aasmaa', 'आसमाँ']
['agni', 'अग्नी']
['aangan', 'आँगन']
['angna', 'आँगन']
['aasamaan', 'आसमां']
['aasmaan', 'आसमां']
['aasman', 'आसमां']
['asmaan', 'आसमां']
['asaman', 'आसमां']
['angadaai', 'अंगड़ाई']
['angdaai', 'अंगड़ाई']
['angadaaii', 'अंगड़ाई']
['angadaayi', 'अंगड़ाई']
['angdai', 'अंगड़ाई']
['angdayi', 'अंगड़ाई']
['angadai', 'अंगड़ाई']
['angdaayi', 'अंगड़ाई']
['angdhaayi', 'अंगड़ाई']
['aangdayi', 'अंगड़ाई']
['aane', 'आने']
['ane', 'आने']
['apne', 'आने']
['akeli', 'अकेली']
['akelii', 'अकेली']
['aakeli', 'अकेली']
['akelee', 'अकेली']
['achaanak', 'अचानक']
['achanak', 'अचानक']
['abaki', 'अबकी']
['aayega', 'आयेगा']
['aayegaa', 'आयेगा']
['aaegaa', 'आयेगा']
['ayega', 'आयेगा']
['aayenga', 'आयेगा']
['ae', 'अए']
['aye', 'अए']
['aavaaron', 'आवारों']
['aji', 'अजी']
['ajii', 'अजी']
['ajee', 'अजी']
['aaji', 'अजी']
['aana', 'आना']
['ana', 'आना']
['aayenge', 'आएँगे']
['aaenge', 'आएँगे']
['aakar', 'आकर']
['ashkon', 'अश्कों']
['ankahee', 'अनकही']
['ankahi', 'अनकही']
['armaan', 'अरमां']
['aramaan', 'अरमां']
['arman', 'अरमां']
['aainaa', 'आइना']
['aaina', 'आइना']
['aina', 'आइना']
['aayenge', 'आयेंगे']
['ayenge', 'आयेंगे']
['aayange', 'आयेंगे']
['aaenge', 'आयेंगे']
['andheraa', 'अँधेरा']
['andhera', 'अँधेरा']
['aramaan', 'अरमाँ']
['armaan', 'अरमाँ']
['armaaan', 'अरमाँ']
['armanan', 'अरमाँ']
['abhi', 'अभी']
['abhee', 'अभी']
['abhii', 'अभी']
['abh', 'अभी']
['abi', 'अभी']
['ajanabii', 'अजनबी']
['ajanabi', 'अजनबी']
['ajnabi', 'अजनबी']
['ajnabee', 'अजनबी']
['ajanabee', 'अजनबी']
['ajanbi', 'अजनबी']
['aadat', 'आदत']
['adat', 'आदत']
['aansuon', 'आँसुओं']
['aasuon', 'आँसुओं']
['aansuyon', 'आँसुओं']
['aansuwon', 'आँसुओं']
['aansuo', 'आँसुओं']
['ambareen', 'अम्बरीं']
['adam', 'अदम']
['ayyaam', 'अय्याम']
['andar', 'अंदर']
['ander', 'अंदर']
['andhar', 'अंदर']
['andaaz', 'अन्दाज़']
['andaz', 'अन्दाज़']
['ada', 'अदा']
['adaa', 'अदा']
['addaa', 'अदा']
['ashq', 'अश्क़']
['aake', 'आके']
['ake', 'आके']
['aasaan', 'आसान']
['aasan', 'आसान']
['aitbaar', 'ऐतबार']
['aitabaar', 'ऐतबार']
['aadmi', 'आदमी']
['aadami', 'आदमी']
['alaava', 'अलावा']
['angaare', 'अंगारे']
['angaarey', 'अंगारे']
['aasamaanon', 'आसमानों']
['aasmanon', 'आसमानों']
['aasmaanon', 'आसमानों']
['aasmaano', 'आसमानों']
['ankur', 'अंकुर']
['agale', 'अगले']
['aagle', 'अगले']
['agle', 'अगले']
['apanepan', 'अपनेपन']
['apnepan', 'अपनेपन']
['aate', 'आते']
['ate', 'आते']
['aashiqui', 'आशिक़ी']
['aashiqi', 'आशिक़ी']
['aashiqii', 'आशिक़ी']
['ashiqui', 'आशिक़ी']
['aaun', 'आऊँ']
['aaoo', 'आऊँ']
['aaon', 'आऊँ']
['aata', 'आता']
['aataa', 'आता']
['ata', 'आता']
['ahta', 'आता']
['aapne', 'आपने']
['aapane', 'आपने']
['ay', 'आय']
['aye', 'आय']
['aay', 'आय']
['ang', 'अंग']
['aang', 'अंग']
['anga', 'अंग']
['aawaaz', 'आवाज़']
['aavaaz', 'आवाज़']
['aawaz', 'आवाज़']
['aavaz', 'आवाज़']
['awaaz', 'आवाज़']
['avaz', 'आवाज़']
['avaaz', 'आवाज़']
['awaz', 'आवाज़']
['armaan', 'अरमान']
['aramaan', 'अरमान']
['araman', 'अरमान']
['arman', 'अरमान']
['ahsaan', 'एहसान']
['aae', 'आए']
['aye', 'आए']
['ae', 'आए']
['are', 'आए']
['aajaate', 'आजाते']
['anaadi', 'अनाड़ी']
['anadi', 'अनाड़ी']
['anaadii', 'अनाड़ी']
['achchhe', 'अच्छे']
['achche', 'अच्छे']
['acchhe', 'अच्छे']
['a', 'आ']
['aayengi', 'आयेंगी']
['aayegi', 'आयेंगी']
['aayengii', 'आयेंगी']
['andhere', 'अँधेरे']
['ajab', 'अजब']
['aavein', 'आवें']
['azmana', 'आजमाना']
['aajmaana', 'आजमाना']
['aazmaana', 'आजमाना']
['azamana', 'आजमाना']
['ashiyana', 'आशियाना']
['aashiyana', 'आशियाना']
['aashiyaanaa', 'आशियाना']
['ashiana', 'आशियाना']
['aashiyaana', 'आशियाना']
['aashiana', 'आशियाना']
['aksar', 'अक्सर']
['aavo', 'आवो']
['aao', 'आवो']
['aaja', 'आजा']
['aajaa', 'आजा']
['aja', 'आजा']
['anjaan', 'अन्जान']
['anajaan', 'अन्जान']
['aapse', 'आपसे']
['aapase', 'आपसे']
['ajantaa', 'अजन्ता']
['ajanta', 'अजन्ता']
['amar', 'अमर']
['amara', 'अमर']
['andaaz', 'अंदाज़']
['andaz', 'अंदाज़']
['allaah', 'अल्लाह']
['allah', 'अल्लाह']
['allaaah', 'अल्लाह']
['allaa', 'अल्लाह']
['anokhe', 'अनोखे']
['aadaat', 'आदात']
['aandhiyaan', 'आँधियाँ']
['aashiyaan', 'आशियाँ']
['aashiyan', 'आशियाँ']
['aashiaana', 'आशियाँ']
['aashiyaa', 'आशियाँ']
['aaine', 'आईने']
['aayne', 'आईने']
['aahon', 'आहों']
['aahen', 'आहें']
['ahein', 'आहें']
['andhere', 'अन्धेरे']
['ankhere', 'अन्धेरे']
['ashqon', 'अश्क़ों']
['ashkon', 'अश्क़ों']
['akhiyon', 'अखियों']
['ankhiyon', 'अखियों']
['aakhiyon', 'अखियों']
['akhdiyon', 'अखियों']
['asuvan', 'असुवन']
['armaanon', 'अर्मानों']
['aramaanon', 'अर्मानों']
['armaano', 'अर्मानों']
['aarmano', 'अर्मानों']
['aramanon', 'अर्मानों']
['andheri', 'अँधेरी']
['andherii', 'अँधेरी']
['andheree', 'अँधेरी']
['aashiqon', 'आशिक़ों']
['aashiqko', 'आशिक़ों']
['aavaara', 'आवारा']
['aawara', 'आवारा']
['awara', 'आवारा']
['aawaara', 'आवारा']
['aawaaraa', 'आवारा']
['aavaaraa', 'आवारा']
['awaara', 'आवारा']
['aashiq', 'आशिक़']
['ashiq', 'आशिक़']
['adayen', 'अदाएँ']
['adaayen', 'अदाएँ']
['adaaen', 'अदाएँ']
['aaina', 'आईना']
['aainaa', 'आईना']
['aayina', 'आईना']
['adhinaayak', 'अधिनायक']
['aayegi', 'आयेगी']
