['badan', 'बदन']
['behke', 'बहके']
['baheke', 'बहके']
['bahake', 'बहके']
['behake', 'बहके']
['bahke', 'बहके']
['bhi', 'भी']
['bas', 'भी']
['baal', 'बाल']
['bal', 'बाल']
['badliyaan', 'बदलियाँ']
['badaliyaan', 'बदलियाँ']
['badliyan', 'बदलियाँ']
['badaliyan', 'बदलियाँ']
['bane', 'बने']
['baney', 'बने']
['banne', 'बने']
['baadal', 'बादल']
['badal', 'बादल']
['bani', 'बनी']
['banii', 'बनी']
['bada', 'बड़ा']
['badaa', 'बड़ा']
['badha', 'बड़ा']
['bahe', 'बहे']
['baahe', 'बहे']
['bhramar', 'भ्रमर']
['bagiya', 'बगिया']
['bagiyaa', 'बगिया']
['bagiyaan', 'बगिया']
['bhagiya', 'बगिया']
['basant', 'बसन्त']
['bahaar', 'बहार']
['bahar', 'बहार']
['bahaara', 'बहार']
['bhari', 'बहार']
['baahar', 'बहार']
['bahaare', 'बहार']
['bela', 'बेला']
['belaa', 'बेला']
['baahein', 'बाहें']
['baahen', 'बाहें']
['baahe', 'बाहें']
['baanhein', 'बाहें']
['bahen', 'बाहें']
['bahein', 'बाहें']
['behosh', 'बेहोश']
['bana', 'बना']
['banaa', 'बना']
['baabu', 'बाबू']
['babu', 'बाबू']
['baabuu', 'बाबू']
['baaboo', 'बाबू']
['baith', 'बैठ']
['bait', 'बैठ']
['barase', 'बरसे']
['barse', 'बरसे']
['barsen', 'बरसे']
['badii', 'बड़ी']
['badi', 'बड़ी']
['badhi', 'बड़ी']
['bilkul', 'बिल्कुल']
['basanti', 'बसंती']
['basantee', 'बसंती']
['baawara', 'बावरा']
['baavaraa', 'बावरा']
['baavraa', 'बावरा']
['baavara', 'बावरा']
['baavra', 'बावरा']
['bataaya', 'बताया']
['bataya', 'बताया']
['baat', 'बात']
['bat', 'बात']
['baata', 'बात']
['baath', 'बात']
['baate', 'बात']
['baaat', 'बात']
['behak', 'बहक']
['bahak', 'बहक']
['bahek', 'बहक']
['behek', 'बहक']
['bewafaa', 'बेवफ़ा']
['bevafa', 'बेवफ़ा']
['bewafa', 'बेवफ़ा']
['bevafaa', 'बेवफ़ा']
['bewaafa', 'बेवफ़ा']
['bandhan', 'बन्धन']
['belein', 'बेलें']
['bele', 'बेलें']
