['dehke', 'दहके']
['dahake', 'दहके']
['dhuan', 'धुआँ']
['dhuaan', 'धुआँ']
['dil', 'दिल']
['dila', 'दिल']
['dill', 'दिल']
['dhil', 'दिल']
['dilo', 'दिल']
['dekha', 'देखा']
['dekhaa', 'देखा']
['dekhna', 'देखा']
['dekhka', 'देखा']
['dehka', 'देखा']
['duaaen', 'दुआएं']
['duaayen', 'दुआएं']
['duaen', 'दुआएं']
['duaein', 'दुआएं']
['dhuayen', 'दुआएं']
['duyaen', 'दुआएं']
['door', 'दूर']
['dur', 'दूर']
['duur', 'दूर']
['durr', 'दूर']
['daur', 'दूर']
['duurr', 'दूर']
['deep', 'दीप']
['dip', 'दीप']
['diip', 'दीप']
['dene', 'देने']
['dhene', 'देने']
['deeney', 'देने']
['dede', 'देदे']
['de', 'दे']
['duun', 'दूँ']
['don', 'दूँ']
['doon', 'दूँ']
['doo', 'दूँ']
['dun', 'दूँ']
['duniyaa', 'दुनिया']
['duniya', 'दुनिया']
['duniyaan', 'दुनिया']
['duniyase', 'दुनिया']
['dhuniyaa', 'दुनिया']
['dhuniya', 'दुनिया']
['duniyan', 'दुनिया']
['dooniya', 'दुनिया']
['duniye', 'दुनिया']
['duniyaaa', 'दुनिया']
['dunya', 'दुनिया']
['din', 'दिन']
['dina', 'दिन']
['ding', 'दिन']
['dekho', 'देखो']
['dekko', 'देखो']
['deko', 'देखो']
['dehko', 'देखो']
['dekhko', 'देखो']
['donon', 'दोनों']
['dono', 'दोनों']
['daaman', 'दामन']
['daman', 'दामन']
['daamann', 'दामन']
['dhaman', 'दामन']
['dein', 'दें']
['den', 'दें']
['dey', 'दें']
['dard', 'दर्द']
['darde', 'दर्द']
['darda', 'दर्द']
['do', 'दो']
['dagar', 'डगर']
['dekhe', 'देखे']
['dekde', 'देखे']
['dekke', 'देखे']
['deken', 'देखे']
['dekhen', 'देखे']
['dekhke', 'देखे']
['dekhee', 'देखे']
['desh', 'देश']
['des', 'देश']
['deewana', 'दीवाना']
['divaanaa', 'दीवाना']
['divaana', 'दीवाना']
['deewaana', 'दीवाना']
['deevaana', 'दीवाना']
['diwana', 'दीवाना']
['diivaanaa', 'दीवाना']
['diwaanaa', 'दीवाना']
['diivaana', 'दीवाना']
['deevaanaa', 'दीवाना']
['dewaana', 'दीवाना']
['deewaanaa', 'दीवाना']
['diwaana', 'दीवाना']
['deewwaana', 'दीवाना']
['dewanna', 'दीवाना']
['divana', 'दीवाना']
['duaon', 'दुआओं']
['duaaon', 'दुआओं']
['duwaaon', 'दुआओं']
['duaawon', 'दुआओं']
['der', 'देर']
['dher', 'देर']
['denaa', 'देना']
['dienaa', 'देना']
['dena', 'देना']
['deeena', 'देना']
['dilaase', 'दिलासे']
['deta', 'देता']
['detaa', 'देता']
['dubone', 'डुबोने']
['denge', 'देंगे']
['dhenge', 'देंगे']
['deingey', 'देंगे']
['darate', 'डरते']
['darte', 'डरते']
['darrte', 'डरते']
['dekhte', 'देखते']
['dekhate', 'देखते']
['dektey', 'देखते']
['dete', 'देते']
['dekhataa', 'देखता']
['dekhata', 'देखता']
['dekhta', 'देखता']
['dekhthaa', 'देखता']
['dilabar', 'दिलबर']
['dilbar', 'दिलबर']
['dilabara', 'दिलबर']
['dilbhar', 'दिलबर']
['dilbaar', 'दिलबर']
['dengi', 'देंगी']
['dengee', 'देंगी']
['denge', 'देंगी']
['degi', 'देंगी']
['dije', 'दीजे']
['deeje', 'दीजे']
['dhintaanaa', 'धिन्ताना']
['dekh', 'देख']
['dek', 'देख']
['daro', 'डरो']
['darro', 'डरो']
['dukh', 'दुख']
['dhum', 'धुम']
['duhkh', 'दुःख']
['dhokhebaaj', 'धोखेबाज']
['diyaa', 'दिया']
['daiyyaa', 'दिया']
['diya', 'दिया']
['dia', 'दिया']
['duniyaa', 'दिया']
['dam', 'दम']
['dum', 'दम']
['disha', 'दिशा']
['dishaa', 'दिशा']
['dikhaayen', 'दिखायें']
['dikhaayein', 'दिखायें']
['dikhaye', 'दिखायें']
['duddu', 'दुद्दू']
['danga', 'दंगा']
['dila', 'दिला']
