['bhadakaatii', 'भड़काती']
['bhadkaati', 'भड़काती']
['bhadakati', 'भड़काती']
['bhadakaati', 'भड़काती']
['buniyaden', 'बुनियादें']
['buniyaaden', 'बुनियादें']
['basna', 'बसना']
['basana', 'बसना']
['baksh', 'बक्ष']
['behetar', 'बेहतर']
['behatar', 'बेहतर']
['behtar', 'बेहतर']
['banuungi', 'बनूँगी']
['banoongi', 'बनूँगी']
['banungi', 'बनूँगी']
['bhulaade', 'भुलादे']
['binaayi', 'बीनाई']
['bajaaye', 'बजाये']
['bajaae', 'बजाये']
['bajaye', 'बजाये']
['bin', 'बीन']
['been', 'बीन']
['boyi', 'बोई']
['baithkar', 'बैठकर']
['bulaaye', 'बुलाये']
['baraje', 'बरजे']
['bahalaane', 'बहलाने']
['bahalane', 'बहलाने']
['baadshah', 'बादशाह']
['baadashaah', 'बादशाह']
['baadshaah', 'बादशाह']
['badashaah', 'बादशाह']
['bhukh', 'भूख']
['bukh', 'भूख']
['baandhke', 'बांधके']
['bikate', 'बिकते']
['bikte', 'बिकते']
['barajor', 'बरजोर']
['bhinaa', 'भीना']
['bheena', 'भीना']
['bidaa', 'बीड़ा']
['beeda', 'बीड़ा']
['bida', 'बीड़ा']
['bichhaayaa', 'बिछाया']
['bhichhaya', 'बिछाया']
['bichhaaya', 'बिछाया']
['bichaaya', 'बिछाया']
['bichhaya', 'बिछाया']
['baina', 'बैना']
['bainaa', 'बैना']
['bojhil', 'बोझिल']
['behisaab', 'बेहिसाब']
['baanvariya', 'बाँवरिया']
['bhejo', 'भेजो']
['bitaayenge', 'बिताएँगे']
['baajare', 'बाजरे']
['bare', 'भरे']
['banjaaraa', 'बंजारा']
['banjaara', 'बंजारा']
['banjara', 'बंजारा']
['badar', 'बदर']
['bedaari', 'बेदारी']
['baabu', 'बाबु']
['badhaaungaa', 'बढ़ाउंगा']
['baaen', 'बाएं']
['baayen', 'बाएं']
['bahaaungaa', 'बहाउंगा']
['banaaungaa', 'बनाउंगा']
['banuungaa', 'बनूंगा']
['banoonga', 'बनूंगा']
['banuunga', 'बनूंगा']
['banunga', 'बनूंगा']
['baanki', 'बाँकी']
['baankee', 'बाँकी']
['baankii', 'बाँकी']
['baaki', 'बाँकी']
['bannaa', 'बन्ना']
['banna', 'बन्ना']
['bichhadi', 'बिछड़ी']
['bichdi', 'बिछड़ी']
['bharneka', 'भरनेका']
['bharta', 'भरता']
['bharun', 'भरूँ']
['batalaayi', 'बतलायी']
['bala', 'भला']
['bhulaaye', 'भुलाये']
['bhulaye', 'भुलाये']
['bichhati', 'बिछती']
['baaz', 'बाज़']
['bajaate', 'बजाते']
['bajate', 'बजाते']
['bajaana', 'बजाना']
['bajaanaa', 'बजाना']
['barsaao', 'बरसाओ']
['barasaao', 'बरसाओ']
['behlaao', 'बहलाओ']
['bahalaao', 'बहलाओ']
['behlao', 'बहलाओ']
['bekhud', 'बेख़ुद']
['baandi', 'बांदी']
['behaal', 'बेहाल']
['bhigo', 'भिगो']
['bikharati', 'बिखरती']
['banaayen', 'बनायें']
['banaayein', 'बनायें']
['banayen', 'बनायें']
['besabr', 'बेसब्र']
['bahen', 'बहें']
['betaasir', 'बेतासिर']
['bipada', 'बिपदा']
['bipda', 'बिपदा']
['bichhi', 'बिछी']
['balamawa', 'बलमवा']
['balamwa', 'बलमवा']
['basanti', 'बसन्ती']
['bavaal', 'बवाल']
['bevajah', 'बेवजह']
['bewajah', 'बेवजह']
['bevajaah', 'बेवजह']
['bewajeh', 'बेवजह']
['bechaaron', 'बेचारों']
['bartar', 'बर्तर']
['behnon', 'बेहनों']
['baalaa', 'बाना']
['baana', 'बाना']
['baankaa', 'बाँका']
['baanka', 'बाँका']
['bichhaayen', 'बिछाएं']
['bichhaaen', 'बिछाएं']
['bajaaungaa', 'बजाऊँगा']
['baans', 'बाँस']
['barasaavat', 'बरसावत']
['barsaavat', 'बरसावत']
['baajegi', 'बाजेगी']
['baali', 'बालि']
['balakhaaye', 'बलखाये']
['bithaaya', 'बिठाया']
['bithaya', 'बिठाया']
['bhithaya', 'बिठाया']
['bithaayaa', 'बिठाया']
['bahalanaa', 'बहलना']
['bachaayen', 'बचाएं']
['bachaayein', 'बचाएं']
['bachaaen', 'बचाएं']
['bekaraaron', 'बेकरारों']
['bitaayi', 'बितायी']
['banaayenge', 'बनाएंगे']
['banayenge', 'बनाएंगे']
['banaaenge', 'बनाएंगे']
['badhaye', 'बढ़ाएँ']
['bitaaya', 'बिताया']
['bitaayaa', 'बिताया']
['basaai', 'बसाई']
['basaayi', 'बसाई']
['beimaan', 'बेइमान']
['baanvariyaa', 'बांवरिया']
['baanwariyaa', 'बांवरिया']
['bujhaao', 'बुझाओ']
['bujaao', 'बुझाओ']
['bhulaao', 'भुलाओ']
['bazm', 'बज़्म']
['banaayi', 'बनायी']
['banayi', 'बनायी']
['boote', 'बूटे']
['buute', 'बूटे']
['badi', 'बदी']
['behakeekat', 'बेहकीकत']
['baant', 'बाँट']
['baat', 'बाँट']
['bant', 'बाँट']
['budhvaar', 'बुध्वार']
['batlaao', 'बतलाओ']
['batalaao', 'बतलाओ']
['batalaayo', 'बतलाओ']
['bekaabi', 'बेख़ाबी']
['bujhana', 'बुझना']
['behne', 'बेह्ने']
['barafi', 'बरफ़ी']
['bajariyaa', 'बजरिया']
['bajariya', 'बजरिया']
['banaaras', 'बनारस']
['banaras', 'बनारस']
['baache', 'बाँचे']
['baanche', 'बाँचे']
['bharamaae', 'भरमाए']
['badnaamiyon', 'बदनामियों']
['badanaamiyon', 'बदनामियों']
['badgumaan', 'बदगुमाँ']
['bangale', 'बंगले']
['bangle', 'बंगले']
['bangley', 'बंगले']
['bhiga', 'भिगा']
['badle', 'बदलें']
['badalen', 'बदलें']
['bedaag', 'बेदाग']
['bemisaal', 'बेमिसाल']
['bemisal', 'बेमिसाल']
['bachaale', 'बचाले']
['bhigoyi', 'भिगोय']
['banenge', 'बनेंगे']
['barahaman', 'बरहमन']
['bediyaan', 'बेड़ियाँ']
['bajati', 'बजती']
['bajatii', 'बजती']
['bajti', 'बजती']
['bajatee', 'बजती']
['bant', 'बंट']
['bataashaa', 'बताशा']
['baawaree', 'बावरी']
['baavari', 'बावरी']
['baanwri', 'बावरी']
['baavri', 'बावरी']
['bavri', 'बावरी']
['baawari', 'बावरी']
['banvari', 'बावरी']
['baawarii', 'बावरी']
['baanwre', 'बावरी']
['boliyaan', 'बोलियाँ']
['baalama', 'बालमा']
['baalamaa', 'बालमा']
['balma', 'बालमा']
['baalma', 'बालमा']
['baahon', 'बाहो']
['banjaaran', 'बंजारन']
['bachna', 'बचना']
['bachnaa', 'बचना']
['bachana', 'बचना']
['bachanaa', 'बचना']
['bramhachaari', 'ब्रम्हचारी']
['bithaana', 'बिठाना']
['bithana', 'बिठाना']
['bhojan', 'भोजन']
['behoshiyaan', 'बेहोशियाँ']
['banaale', 'बनाले']
['bad', 'बद']
['badd', 'बद']
['bulabulein', 'बुलबुलें']
['bulbule', 'बुलबुलें']
['baanki', 'बाँकि']
['bichhude', 'बिछुड़े']
['bichhade', 'बिछुड़े']
['betiyaan', 'बेटियाँ']
['betiyan', 'बेटियाँ']
['bildingen', 'बिल्डिंगें']
['bajate', 'बजते']
['bujhaati', 'बुझाती']
['baanke', 'बाँके']
['birah', 'बिरह']
['birha', 'बिरह']
['biraha', 'बिरह']
['banavaasi', 'बनवासी']
['banawaasi', 'बनवासी']
['baahaake', 'बाहाके']
['bajataa', 'बजता']
['bajta', 'बजता']
['bahaayein', 'बहायें']
['bahaayen', 'बहायें']
['bechata', 'बेचता']
['bandagi', 'बन्दगी']
['bandagii', 'बन्दगी']
['bulavaa', 'बुलवा']
['bulawaa', 'बुलवा']
['bhatakane', 'भटकने']
['bhatakne', 'भटकने']
['bevatanon', 'बेवतनों']
['bevatnon', 'बेवतनों']
['bevaa', 'बेवा']
['bewa', 'बेवा']
['beva', 'बेवा']
['bewaa', 'बेवा']
['bichhaduun', 'बिछड़ूं']
['bahakane', 'बहकने']
['behekne', 'बहकने']
['bahekne', 'बहकने']
['behakne', 'बहकने']
['behkane', 'बहकने']
['bahekane', 'बहकने']
['baajuon', 'बाजुओं']
['baajooon', 'बाजुओं']
['bajon', 'बाजुओं']
['baazuon', 'बाजुओं']
['baajuu', 'बाजू']
['baaju', 'बाजू']
['bahaati', 'बहाती']
['bahaatee', 'बहाती']
['basaakar', 'बसाकर']
['basakar', 'बसाकर']
['bichhaayiye', 'बिछाइये']
['bhulaave', 'भुलावे']
['bhuulanevaale', 'भूलनेवाले']
['bhulanevaale', 'भूलनेवाले']
['bhatija', 'भतीजा']
['bachaayi', 'बचाई']
['bachaai', 'बचाई']
['balakhaati', 'बलखाती']
['balkhaati', 'बलखाती']
['balkhati', 'बलखाती']
['baansuriya', 'बांसुरिया']
['baansuriyaa', 'बांसुरिया']
['bikhraaya', 'बिखराया']
['bikharaayaa', 'बिखराया']
['bisri', 'बिसरी']
['bisaree', 'बिसरी']
['bisari', 'बिसरी']
['bikharenge', 'बिखरेंगे']
['bhavasaagar', 'भवसागर']
['bhavsagar', 'भवसागर']
['bichhe', 'बिछे']
['bhaagana', 'भागना']
['bhaagna', 'भागना']
['bigadate', 'बिगड़ते']
['badalakar', 'बदलकर']
['badalkar', 'बदलकर']
['birahaa', 'विरहा']
['babool', 'बबूल']
['barsi', 'बरसी']
['barsii', 'बरसी']
['barasi', 'बरसी']
['barasee', 'बरसी']
['barsiya', 'बरसी']
['bidesee', 'बिदेसी']
['bitaayenge', 'बितायेंगे']
['barsaat', 'बर्सात']
['bachcha', 'बच्चा']
['bachchaa', 'बच्चा']
['baccha', 'बच्चा']
['bacchha', 'बच्चा']
['bhatakon', 'भटकों']
['banaataa', 'बनाता']
['banaata', 'बनाता']
['banataa', 'बनाता']
['bhulaakar', 'भुलाकर']
['batalaane', 'बतलाने']
['batlana', 'बतलाने']
['bajaayegi', 'बजायेगी']
['banaayegi', 'बनायेगी']
['bahakaao', 'बहकाओ']
['bisaaro', 'बिसारो']
['bisaarenge', 'बिसारेंगे']
['bulaave', 'बुलावे']
['bulave', 'बुलावे']
['bulaaen', 'बुलाएं']
['bulaayen', 'बुलाएं']
['bulaayein', 'बुलाएं']
['bahiyon', 'बहियों']
['baansuri', 'बंसुरी']
['bansuri', 'बंसुरी']
['behoshiyon', 'बेहोशियों']
['bholepan', 'भोलेपन']
['bajegi', 'बजेगी']
['basoge', 'बसोगे']
['bajenge', 'बजेंगे']
['bajege', 'बजेंगे']
['baniya', 'बनिया']
