['ghula', 'घुला']
['gula', 'घुला']
['ghulaa', 'घुला']
['ghor', 'घोर']
['ga', 'गा']
['gan', 'गा']
['gaa', 'गा']
['gam', 'गा']
['gunja', 'गुंज']
['gora', 'गोरा']
['goraa', 'गोरा']
['gori', 'गोरी']
['gorii', 'गोरी']
['goree', 'गोरी']
['goriye', 'गोरी']
['gore', 'गोरी']
['gahara', 'गहरा']
['gaharaa', 'गहरा']
['gahraa', 'गहरा']
['gahera', 'गहरा']
['gehra', 'गहरा']
['gehara', 'गहरा']
['gehraa', 'गहरा']
['gulabi', 'गुलाबी']
['gulaabi', 'गुलाबी']
['gulabee', 'गुलाबी']
['gulaabii', 'गुलाबी']
['gulaabee', 'गुलाबी']
['ghulti', 'घुलती']
['ghulati', 'घुलती']
['git', 'गीत']
['geet', 'गीत']
['giit', 'गीत']
['gaanv', 'गांव']
['gaanw', 'गांव']
['gayaa', 'गया']
['gaya', 'गया']
['gya', 'गया']
['gayaaa', 'गया']
['gulaal', 'गुलाल']
['gagan', 'गगन']
['gaaye', 'गाये']
['gaye', 'गाये']
['guzare', 'गुज़रे']
['guzre', 'गुज़रे']
['guzren', 'गुज़रे']
['gumaan', 'गुमान']
['guzaar', 'गुज़ार']
['guzaaar', 'गुज़ार']
['goozaar', 'गुज़ार']
['ghalib', 'ग़ालिब']
['gaalib', 'ग़ालिब']
['ghulii', 'घुली']
['ghuli', 'घुली']
['god', 'गोद']
['godi', 'गोद']
['godh', 'गोद']
['gaye', 'गये']
['gayee', 'गये']
['gayi', 'गये']
['ghaayal', 'घायल']
['ghayal', 'घायल']
['gayal', 'घायल']
['gar', 'गर']
['ghataayen', 'घटायें']
['ghataayein', 'घटायें']
['ghatayen', 'घटायें']
['ghuse', 'घुसे']
['ghere', 'घेरे']
['gudiya', 'गुड़िया']
['gudiyaa', 'गुड़िया']
['gudeeyaa', 'गुड़िया']
['gudiyaan', 'गुड़िया']
['gudeeyaan', 'गुड़िया']
['gaon', 'गाँव']
['gaanv', 'गाँव']
['gaav', 'गाँव']
['gaaon', 'गाँव']
['gaanw', 'गाँव']
['gaaoo', 'गाँव']
['gaau', 'गाँव']
['godi', 'गोदी']
['giridhari', 'गिरिधारी']
['giridhaari', 'गिरिधारी']
['garava', 'गरवा']
['garavaa', 'गरवा']
['garawaa', 'गरवा']
['garawa', 'गरवा']
['ganwa', 'गँवा']
['ganva', 'गँवा']
['ganvaa', 'गँवा']
['gale', 'गले']
['gaale', 'गले']
['galey', 'गले']
['galiyon', 'गलियों']
['galiyoon', 'गलियों']
['galiyo', 'गलियों']
['galeeyon', 'गलियों']
['gazal', 'गज़ल']
['ghazal', 'गज़ल']
['gulaam', 'गुलाम']
['ghulam', 'गुलाम']
['ghulaam', 'गुलाम']
['gulam', 'गुलाम']
['gunguna', 'गुनगुना']
['gungunaa', 'गुनगुना']
['gunagunaa', 'गुनगुना']
['gunaguna', 'गुनगुना']
['gaur', 'गौर']
['ghul', 'घुल']
['gaane', 'गाने']
['gane', 'गाने']
['gulashan', 'गुलशन']
['gulshan', 'गुलशन']
['gunagunaata', 'गुनगुनाता']
['gungunaata', 'गुनगुनाता']
['gardish', 'गर्दिश']
['giri', 'गिरी']
['girii', 'गिरी']
['gayi', 'गईं']
['gaya', 'गईं']
['gayee', 'गईं']
['gayaa', 'गईं']
['gaye', 'गईं']
['gira', 'गिरा']
['giraa', 'गिरा']
['ghira', 'गिरा']
['gire', 'गिरे']
['ghire', 'गिरे']
['gaadi', 'गाड़ी']
['gaadhi', 'गाड़ी']
['gaadii', 'गाड़ी']
['gadi', 'गाड़ी']
['ghadi', 'गाड़ी']
['guzarane', 'गुज़रने']
['guzarne', 'गुज़रने']
['gori', 'गोरि']
['gajara', 'गजरा']
['gajaraa', 'गजरा']
['gajra', 'गजरा']
['girane', 'गिरने']
['girne', 'गिरने']
['ghirane', 'गिरने']
['gaalon', 'गालों']
['gaalo', 'गालों']
['guzaara', 'गुज़ारा']
['guzaaraa', 'गुज़ारा']
['guzara', 'गुज़ारा']
['guzaraa', 'गुज़ारा']
['gaati', 'गाती']
['gaatee', 'गाती']
['gaatii', 'गाती']
['garmi', 'गर्मी']
['garmee', 'गर्मी']
['garmii', 'गर्मी']
['gud', 'गुड़']
['gadi', 'घड़ी']
['ghar', 'घड़ी']
['gai', 'घड़ी']
['gari', 'घड़ी']
['gali', 'गली']
['galii', 'गली']
['gale', 'गली']
['gile', 'गली']
['gila', 'गिला']
['gilaa', 'गिला']
['ghode', 'घोड़े']
['gaata', 'गाता']
['gaataa', 'गाता']
['gata', 'गाता']
['gayi', 'गयी']
['gayii', 'गयी']
['gore', 'गोरे']
['gaal', 'गाल']
['gal', 'गाल']
['gardishon', 'गर्दिशों']
['gamon', 'ग़मों']
['gazab', 'गज़ब']
['ganga', 'गंगा']
['gangaa', 'गंगा']
['gahari', 'गहरी']
['gaihri', 'गहरी']
['gehri', 'गहरी']
['gaagariya', 'गागरिया']
['gaagareeyaa', 'गागरिया']
['gamr', 'गमर्']
['ghole', 'घोले']
['guru', 'गुरू']
['guruu', 'गुरू']
['ghabaraaye', 'घबराये']
['ghabraye', 'घबराये']
['ghabraaye', 'घबराये']
