['nasha', 'नशा']
['nigaahen', 'निगाहें']
['nigaahein', 'निगाहें']
['nigahein', 'निगाहें']
['nigaahe', 'निगाहें']
['nigahen', 'निगाहें']
['nigahaen', 'निगाहें']
['nigahe', 'निगाहें']
['nazaare', 'नज़ारे']
['nazare', 'नज़ारे']
['najaare', 'नज़ारे']
['nazarey', 'नज़ारे']
['nazaaren', 'नज़ारे']
['najare', 'नज़ारे']
['n', 'न']
['nithur', 'निठुर']
['naachen', 'नाचें']
['naachein', 'नाचें']
['naache', 'नाचें']
['nachein', 'नाचें']
['nitya', 'नित्य']
['naye', 'नये']
['naaz', 'नाज़']
['naz', 'नाज़']
['naj', 'नाज़']
['nila', 'नीला']
['neela', 'नीला']
['niilaa', 'नीला']
['neelaa', 'नीला']
['niila', 'नीला']
['nilaa', 'नीला']
['nili', 'नीली']
['neeli', 'नीली']
['niilii', 'नीली']
['nil', 'नील']
['niil', 'नील']
['narm', 'नर्म']
['na', 'ना']
['naa', 'ना']
['nak', 'ना']
['nan', 'ना']
['ne', 'ने']
['nae', 'ने']
['ney', 'ने']
['naache', 'नाचे']
['nache', 'नाचे']
['nafrat', 'नफ़रत']
['nafarat', 'नफ़रत']
['naam', 'नाम']
['nam', 'नाम']
['naama', 'नाम']
['nahin', 'नहीं']
['nahiin', 'नहीं']
['naheen', 'नहीं']
['nahee', 'नहीं']
['nahie', 'नहीं']
['nahii', 'नहीं']
['nahien', 'नहीं']
['nikla', 'निकला']
['nikalaa', 'निकला']
['nikala', 'निकला']
['niklaa', 'निकला']
['nikli', 'निकली']
['nikali', 'निकली']
['nikalii', 'निकली']
['nikalee', 'निकली']
['nirasha', 'निराशा']
['niraasha', 'निराशा']
['niraashaa', 'निराशा']
['nazraana', 'नज़राना']
['nazaraanaa', 'नज़राना']
['nazaraana', 'नज़राना']
['nazarana', 'नज़राना']
['nazrana', 'नज़राना']
['nazraanaa', 'नज़राना']
['najarana', 'नज़राना']
['noor', 'नूर']
['nuur', 'नूर']
['nur', 'नूर']
['nind', 'नींद']
['niind', 'नींद']
['neele', 'नींद']
['needh', 'नींद']
['nazar', 'नज़र']
['nazer', 'नज़र']
['nikal', 'निकल']
['nazadik', 'नज़दीक']
['nazdeek', 'नज़दीक']
['nazadeek', 'नज़दीक']
['najadik', 'नज़दीक']
['nazadiik', 'नज़दीक']
['nazdik', 'नज़दीक']
['nazaron', 'नज़रों']
['najaron', 'नज़रों']
['nazron', 'नज़रों']
['nazaro', 'नज़रों']
['nazaroon', 'नज़रों']
['nazro', 'नज़रों']
['naacho', 'नाचो']
['nacho', 'नाचो']
['naachon', 'नाचो']
['naukar', 'नौकर']
['naak', 'नाक']
['nigaahon', 'निगाहों']
['nigahoon', 'निगाहों']
['nigaho', 'निगाहों']
['nigaaho', 'निगाहों']
['nigahon', 'निगाहों']
['nighahon', 'निगाहों']
['nighaahon', 'निगाहों']
['nigahoo', 'निगाहों']
['nindyaa', 'निन्द्या']
['nainon', 'नैनों']
['nindiya', 'निंदिया']
['nindiyaa', 'निंदिया']
['nindiyaan', 'निंदिया']
['nadiya', 'नदिया']
['nadiyaa', 'नदिया']
['nadiyan', 'नदिया']
['nadiyaan', 'नदिया']
['naahi', 'नाही']
['nahi', 'नाही']
['nazarein', 'नज़रें']
['nazaren', 'नज़रें']
['nazrein', 'नज़रें']
['nazren', 'नज़रें']
['naazanin', 'नाज़नीं']
['naazaneen', 'नाज़नीं']
['naaznin', 'नाज़नीं']
['naazneen', 'नाज़नीं']
['naazaniin', 'नाज़नीं']
['naazanee', 'नाज़नीं']
['nikalta', 'निकलता']
['nikalataa', 'निकलता']
['nikalata', 'निकलता']
['nigaah', 'निगाह']
['nigah', 'निगाह']
['nindein', 'नींदें']
['ninde', 'नींदें']
['neendien', 'नींदें']
['niinden', 'नींदें']
['ninden', 'नींदें']
['neenden', 'नींदें']
['nibhaayein', 'निभाएं']
['nibhaayen', 'निभाएं']
['nibhayein', 'निभाएं']
['nam', 'नम']
['num', 'नम']
['nirdosh', 'निर्दोष']
['naari', 'नारी']
['naara', 'नारी']
['nari', 'नारी']
['naaree', 'नारी']
['naarii', 'नारी']
['naree', 'नारी']
['nindon', 'नींदों']
['niindon', 'नींदों']
['neendon', 'नींदों']
['nikhar', 'निखार']
['nikaah', 'निखार']
['nikhaar', 'निखार']
['naaraaz', 'नाराज़']
['naraj', 'नाराज़']
['naaraz', 'नाराज़']
['naaraaj', 'नाराज़']
['naya', 'नया']
['nayaa', 'नया']
['nikale', 'निकले']
['nikle', 'निकले']
['nemat', 'नेमत']
['neemat', 'नेमत']
['note', 'नोट']
['not', 'नोट']
['naseeba', 'नसीबा']
['naseebaa', 'नसीबा']
['nasiba', 'नसीबा']
['naukari', 'नौकरी']
['naukri', 'नौकरी']
['naukarii', 'नौकरी']
['naukariya', 'नौकरिया']
['nehlaa', 'नहला']
['nahala', 'नहला']
['nehala', 'नहला']
['nehla', 'नहला']
['nikko', 'निक्को']
['ni', 'नी']
['nishaniya', 'निशानियां']
['nishaaniyaan', 'निशानियां']
['nishaana', 'निशाना']
['nishaanaa', 'निशाना']
['nishana', 'निशाना']
['nagmagar', 'नग़मागर']
['naahiin', 'नाहीं']
['naahin', 'नाहीं']
['nahi', 'नाहीं']
['naaheen', 'नाहीं']
['naahi', 'नाहीं']
['nasib', 'नसीब']
['naseeb', 'नसीब']
['nasiba', 'नसीब']
['naakaam', 'नाकाम']
['nakaam', 'नाकाम']
['nakam', 'नाकाम']
['naakam', 'नाकाम']
['naata', 'नाता']
['natha', 'नाता']
['naataa', 'नाता']
['nagamein', 'नगमें']
['nagamen', 'नगमें']
['nagmein', 'नगमें']
['naghamen', 'नगमें']
['nishaani', 'निशानी']
['nishani', 'निशानी']
['nishaanii', 'निशानी']
['nishanii', 'निशानी']
['najariya', 'नजरिया']
['nazariya', 'नजरिया']
['najariyaa', 'नजरिया']
['nagariya', 'नगरिया']
['nagariyaa', 'नगरिया']
['nagriyaan', 'नगरिया']
['neh', 'नेह']
['nibhaana', 'निभाना']
['nibhaanaa', 'निभाना']
['nibhana', 'निभाना']
['naazon', 'नाज़ों']
['naajon', 'नाज़ों']
['nazadeekiyaan', 'नज़दीकियाँ']
['nazdikiyan', 'नज़दीकियाँ']
['nazdikiyaan', 'नज़दीकियाँ']
['nashtar', 'नश्तर']
['naazuk', 'नाज़ुक']
['nazuk', 'नाज़ुक']
['najuk', 'नाज़ुक']
['naajuk', 'नाज़ुक']
['naasoor', 'नासूर']
['naasuur', 'नासूर']
['naitaaon', 'नेताओं']
['netaaon', 'नेताओं']
['narmi', 'नर्मी']
['nisaar', 'निसार']
['nisar', 'निसार']
['nikalega', 'निकलेगा']
['nikalegaa', 'निकलेगा']
['naajuk', 'नाजुक']
['najuk', 'नाजुक']
['nindiya', 'निन्दिया']
['neendiya', 'निन्दिया']
['nindiyaa', 'निन्दिया']
['nazaara', 'नज़ारा']
['nazara', 'नज़ारा']
['najaaraa', 'नज़ारा']
['nazaaraa', 'नज़ारा']
['najaara', 'नज़ारा']
['naadaani', 'नादानी']
['nadani', 'नादानी']
['naadaanii', 'नादानी']
['naadaanee', 'नादानी']
['naadani', 'नादानी']
['naadaan', 'नादां']
['nadan', 'नादां']
['naame', 'नामे']
['naadaan', 'नादान']
['nadaan', 'नादान']
['naadan', 'नादान']
['naadaann', 'नादान']
['nadan', 'नादान']
['nishaaniyaan', 'निशानियाँ']
['nishaniyan', 'निशानियाँ']
['nishaniyaan', 'निशानियाँ']
['nishaaniyan', 'निशानियाँ']
['neki', 'नेकी']
['nekii', 'नेकी']
['nambari', 'नम्बरी']
['nambar', 'नम्बर']
['niraala', 'निराला']
['niraalaa', 'निराला']
['nirala', 'निराला']
['navaan', 'नवाँ']
['nibhaate', 'निभाते']
['nihaaro', 'निहारो']
['nishaan', 'निशाँ']
['nishan', 'निशाँ']
['nishaa', 'निशाँ']
['najaron', 'नजरों']
['new', 'नेव']
['niradhan', 'निरधन']
['nirdhan', 'निरधन']
['nindiyan', 'निंदियन']
['naiya', 'नैया']
['nayya', 'नैया']
['naachati', 'नाचती']
['naachti', 'नाचती']
['nishaan', 'निशां']
['nishan', 'निशां']
['nibha', 'निभा']
['nibhaa', 'निभा']
['nigaah', 'निग़ाह']
['nikhar', 'निखर']
['nagmaa', 'नग़मा']
['nagma', 'नग़मा']
['naghma', 'नग़मा']
['nagamaa', 'नग़मा']
['nagama', 'नग़मा']
['naghmaa', 'नग़मा']
['nagar', 'नगर']
['nikaal', 'निकाल']
['naarangi', 'नारंगी']
['nazare', 'नज़रे']
['nazre', 'नज़रे']
['nazren', 'नज़रे']
['nibhaai', 'निभाई']
['nibhai', 'निभाई']
['nibhaayi', 'निभाई']
['nibhayi', 'निभाई']
['nallaa', 'नल्ला']
['naani', 'नानी']
['nani', 'नानी']
['naanii', 'नानी']
['nikaalungaa', 'निकालूँगा']
