['pighale', 'पिघले']
['pighle', 'पिघले']
['paas', 'पास']
['pass', 'पास']
['pas', 'पास']
['pyaas', 'पास']
['paasa', 'पास']
['pyaase', 'पास']
['pyaas', 'प्यास']
['pyas', 'प्यास']
['payaas', 'प्यास']
['pyaasaa', 'प्यास']
['paas', 'प्यास']
['pyaar', 'प्यार']
['pyar', 'प्यार']
['paar', 'प्यार']
['paayar', 'प्यार']
['par', 'प्यार']
['payar', 'प्यार']
['pyaara', 'प्यार']
['piyaao', 'प्यार']
['pyara', 'प्यार']
['pyaasa', 'प्यार']
['pyaa', 'प्यार']
['paaya', 'प्यार']
['pukaare', 'पुकारे']
['pukare', 'पुकारे']
['pyaara', 'प्यारा']
['pyara', 'प्यारा']
['pyaaraa', 'प्यारा']
['par', 'पर']
['per', 'पर']
['para', 'पर']
['paanti', 'पाँती']
['pe', 'पे']
['padhana', 'पढ़ना']
['padhaa', 'पढ़ा']
['padha', 'पढ़ा']
['paanii', 'पानी']
['paani', 'पानी']
['pani', 'पानी']
['phaani', 'पानी']
['pawan', 'पवन']
['pavan', 'पवन']
['pavana', 'पवन']
['parchhaee', 'परछाईं']
['parachhaain', 'परछाईं']
['parchayee', 'परछाईं']
['parachhaayin', 'परछाईं']
['parchaayi', 'परछाईं']
['pighla', 'पिघला']
['pighala', 'पिघला']
['pigla', 'पिघला']
['piya', 'पिया']
['piyaa', 'पिया']
['pyaar', 'पिया']
['peeya', 'पिया']
['pedon', 'पेड़ों']
['pedo', 'पेड़ों']
['phir', 'फिर']
['patthar', 'पत्थर']
['pathar', 'पत्थर']
['pathhar', 'पत्थर']
['paththar', 'पत्थर']
['pather', 'पत्थर']
['patte', 'पत्ते']
['patjhad', 'पतझड़']
['pesh', 'पेश']
['pal', 'पल']
['pala', 'पल']
['paravaanaa', 'परवाना']
['parwaana', 'परवाना']
['paravaana', 'परवाना']
['parvaana', 'परवाना']
['parvaanaa', 'परवाना']
['parawaana', 'परवाना']
['parwana', 'परवाना']
['parawaanaa', 'परवाना']
['paravana', 'परवाना']
['parvana', 'परवाना']
['parchhai', 'परछाई']
['parchhaai', 'परछाई']
['parchhaaii', 'परछाई']
['parachhaai', 'परछाई']
['parchhaayi', 'परछाई']
['parchai', 'परछाई']
['parchhayi', 'परछाई']
['parchayi', 'परछाई']
['puuchho', 'पूछो']
['pucho', 'पूछो']
['puchho', 'पूछो']
['poochho', 'पूछो']
['poocho', 'पूछो']
['puchh', 'पूछो']
['pooch', 'पूछो']
['puchcho', 'पूछो']
['poochhe', 'पूछो']
['palak', 'पलक']
['pyaare', 'प्यारे']
['pyare', 'प्यारे']
['pyaere', 'प्यारे']
['paanv', 'पाँव']
['paao', 'पाँव']
['paon', 'पाँव']
['paaon', 'पाँव']
['paanw', 'पाँव']
['paau', 'पाँव']
['paav', 'पाँव']
['paani', 'पाँव']
['paaw', 'पाँव']
['panv', 'पाँव']
['phulajhaare', 'फुलझारे']
['pathik', 'पथिक']
['pyari', 'प्यारी']
['pyaaree', 'प्यारी']
['pyaari', 'प्यारी']
['pyaarii', 'प्यारी']
['pyaree', 'प्यारी']
['pyare', 'प्यारी']
['pyar', 'प्यारी']
['pyaar', 'प्यारी']
['pyaare', 'प्यारी']
['phikar', 'फिकर']
['piche', 'पीछे']
['peechhe', 'पीछे']
['peeche', 'पीछे']
['pichhe', 'पीछे']
['piichhe', 'पीछे']
['peche', 'पीछे']
['peechee', 'पीछे']
['pite', 'पीते']
['peete', 'पीते']
['pitey', 'पीते']
['piite', 'पीते']
['pher', 'फेर']
['pehlu', 'पहलू']
['pahalu', 'पहलू']
['pahloo', 'पहलू']
['pahelu', 'पहलू']
['pehalu', 'पहलू']
['pahaluu', 'पहलू']
['pahaloo', 'पहलू']
['pehloo', 'पहलू']
['puravaiyaa', 'पुरवैया']
['purvaiya', 'पुरवैया']
['purawaiya', 'पुरवैया']
['puravaiya', 'पुरवैया']
['poonam', 'पूनम']
['puunam', 'पूनम']
['punam', 'पूनम']
['poochh', 'पूछ']
['puuchh', 'पूछ']
['pooch', 'पूछ']
['puchh', 'पूछ']
['puch', 'पूछ']
['puuch', 'पूछ']
['pyaasi', 'प्यासी']
['pyaasii', 'प्यासी']
['pyaasee', 'प्यासी']
['pyasi', 'प्यासी']
['panaahon', 'पनाहों']
['panaaho', 'पनाहों']
['panaho', 'पनाहों']
['paigaam', 'पैगाम']
['paigam', 'पैगाम']
['paigham', 'पैगाम']
['pata', 'पता']
['pataa', 'पता']
['patha', 'पता']
['pathar', 'पता']
['ptaa', 'पता']
['pade', 'पड़े']
['padhe', 'पड़े']
['prit', 'प्रीत']
['preet', 'प्रीत']
['priit', 'प्रीत']
['pareet', 'प्रीत']
['preeta', 'प्रीत']
['prita', 'प्रीत']
['paaye', 'प्रीत']
['preeth', 'प्रीत']
['pherin', 'फेरीं']
['papeeharaa', 'पपीहरा']
['papeehara', 'पपीहरा']
['palakon', 'पलकों']
['palkhon', 'पलकों']
['palkoon', 'पलकों']
['palkon', 'पलकों']
['palko', 'पलकों']
['palako', 'पलकों']
['pee', 'पी']
['pii', 'पी']
['pi', 'पी']
['pe', 'पी']
['pahale', 'पहले']
['pehle', 'पहले']
['pahle', 'पहले']
['pehale', 'पहले']
['pahele', 'पहले']
['pehele', 'पहले']
['phele', 'पहले']
['pasina', 'पसीना']
['paseena', 'पसीना']
['pasinaa', 'पसीना']
['pasiinaa', 'पसीना']
['paseenaa', 'पसीना']
['puuchhuunga', 'पूछूंगा']
['paaya', 'पाया']
['paayaa', 'पाया']
['paya', 'पाया']
['paaye', 'पाए']
['paae', 'पाए']
['paye', 'पाए']
['pahali', 'पहली']
['pehli', 'पहली']
['pahalee', 'पहली']
['pahalii', 'पहली']
['pahli', 'पहली']
['pehali', 'पहली']
['paheli', 'पहली']
['pahele', 'पहली']
['peheli', 'पहली']
['pehle', 'पहली']
['phere', 'फेरे']
['pere', 'फेरे']
['phire', 'फिरे']
['peeta', 'पीता']
['pita', 'पीता']
['pila', 'पिला']
['pilaa', 'पिला']
['parvat', 'पर्वत']
['parada', 'परदा']
['pardaa', 'परदा']
['parda', 'परदा']
['paradaa', 'परदा']
['parade', 'परदे']
['parde', 'परदे']
['pardey', 'परदे']
['padein', 'पड़ें']
['paden', 'पड़ें']
['paake', 'पाके']
['pake', 'पाके']
['paayi', 'पाई']
['paai', 'पाई']
['pai', 'पाई']
['payi', 'पाई']
['paap', 'पाप']
['paapi', 'पाप']
['peeti', 'पीती']
['piti', 'पीती']
['piitii', 'पीती']
['parinde', 'परिन्दे']
['paalaa', 'पाला']
['paala', 'पाला']
['paagal', 'पागल']
['pagal', 'पागल']
['pagel', 'पागल']
['paa', 'पा']
['pa', 'पा']
['pav', 'पा']
['pal', 'पा']
['paal', 'पा']
['paaye', 'पाये']
['paye', 'पाये']
['poojenge', 'पूजेंगे']
['paraaye', 'पराये']
['paraye', 'पराये']
['padataa', 'पड़ता']
['padata', 'पड़ता']
['padta', 'पड़ता']
['phuulon', 'फूलों']
['phulon', 'फूलों']
['pholon', 'फूलों']
['pada', 'पड़ा']
['padha', 'पड़ा']
['padaa', 'पड़ा']
['pukara', 'पुकारा']
['pukaara', 'पुकारा']
['pukaaraa', 'पुकारा']
['pukaraa', 'पुकारा']
['parabat', 'पर्बत']
['parbat', 'पर्बत']
['parivesh', 'परिवेश']
['piro', 'पिरो']
['peero', 'पिरो']
['paisa', 'पैसा']
['paisaa', 'पैसा']
['purana', 'पुराना']
['puraana', 'पुराना']
['puraanaa', 'पुराना']
['pujari', 'पुजारी']
['pujaari', 'पुजारी']
['pujaarii', 'पुजारी']
['poojari', 'पुजारी']
['pujaaree', 'पुजारी']
['paison', 'पैसों']
['paiso', 'पैसों']
['pista', 'पिस्ता']
['pishtaa', 'पिस्ता']
['pishta', 'पिस्ता']
['pyaar', 'पार']
['paar', 'पार']
['pyaara', 'पार']
['par', 'पार']
['paanvon', 'पाँवों']
['paaon', 'पाँवों']
['paayal', 'पायल']
['payal', 'पायल']
['paayala', 'पायल']
['pyaasa', 'प्यासा']
['pyaasaa', 'प्यासा']
['pyasa', 'प्यासा']
['payasaa', 'प्यासा']
['pagal', 'पगल']
['phulvaari', 'फुल्वारी']
['padane', 'पड़ने']
['padne', 'पड़ने']
['puuchhuun', 'पूछूँ']
['poochhuun', 'पूछूँ']
['puchhun', 'पूछूँ']
['poochhun', 'पूछूँ']
['pighalenge', 'पिघलेंगे']
['patta', 'पट्टा']
['pranaam', 'प्रणाम']
['pranam', 'प्रणाम']
['pakaayega', 'पकाएगा']
['pakaayuunga', 'पकाऊंगा']
['pukaarein', 'पुकारें']
['pukaaren', 'पुकारें']
['pukaare', 'पुकारें']
['pukaren', 'पुकारें']
['pukare', 'पुकारें']
['phela', 'पहला']
['pehla', 'पहला']
['pahala', 'पहला']
['pahalaa', 'पहला']
['pahela', 'पहला']
['pahlaa', 'पहला']
['pehlaa', 'पहला']
['pehala', 'पहला']
['pyaase', 'प्यासे']
['paimaane', 'पैमाने']
['poochhenge', 'पूछेंगे']
['puuchhenge', 'पूछेंगे']
['puchhenge', 'पूछेंगे']
['pahare', 'पहरे']
['pahren', 'पहरे']
['pehre', 'पहरे']
['pehare', 'पहरे']
['pahere', 'पहरे']
['pahre', 'पहरे']
['phere', 'पहरे']
['paravaane', 'परवाने']
['parwaane', 'परवाने']
['parvaane', 'परवाने']
['parawaane', 'परवाने']
['parawane', 'परवाने']
['parwane', 'परवाने']
['pahalese', 'पहलेसे']
['parachhaaiyaan', 'परछाइयाँ']
['parachhaeeyaan', 'परछाइयाँ']
['parchhaaiyaan', 'परछाइयाँ']
['paiyaan', 'पैयाँ']
['paiyyan', 'पैयाँ']
['paiyyaa', 'पैयाँ']
['padun', 'पड़ूँ']
['paduun', 'पड़ूँ']
['padoo', 'पड़ूँ']
['parades', 'परदेस']
['pardes', 'परदेस']
['prem', 'प्रेम']
['parem', 'प्रेम']
['praem', 'प्रेम']
['pritam', 'प्रीतम']
['preetam', 'प्रीतम']
