['roop', 'रूप']
['ruup', 'रूप']
['rup', 'रूप']
['ruupa', 'रूप']
['rupa', 'रूप']
['rahen', 'रहें']
['rahein', 'रहें']
['rahey', 'रहें']
['rangeen', 'रंगीं']
['rangin', 'रंगीं']
['rangee', 'रंगीं']
['rangiin', 'रंगीं']
['rah', 'रह']
['raha', 'रह']
['reh', 'रह']
['reha', 'रह']
['rehe', 'रह']
['rahe', 'रह']
['rahi', 'रह']
['re', 'रे']
['ree', 'रे']
['raat', 'रात']
['raath', 'रात']
['raata', 'रात']
['rat', 'रात']
['rasta', 'रात']
['raaz', 'राज़']
['raz', 'राज़']
['raj', 'राज़']
['raaze', 'राज़']
['raagini', 'रागिनी']
['rangini', 'रागिनी']
['raaginii', 'रागिनी']
['raagani', 'रागिनी']
['raginee', 'रागिनी']
['rahun', 'रहूं']
['rahuun', 'रहूं']
['rang', 'रंग']
['ranga', 'रंग']
['rango', 'रंग']
['rangi', 'रंग']
['raani', 'रानी']
['raanii', 'रानी']
['rani', 'रानी']
['raazi', 'रानी']
['raste', 'रस्ते']
['rishte', 'रस्ते']
['raa', 'रा']
['ra', 'रा']
['raat', 'रा']
['rahi', 'रही']
['rahe', 'रही']
['rahii', 'रही']
['rahee', 'रही']
['rehi', 'रही']
['rehke', 'रही']
['raah', 'राह']
['raha', 'राह']
['rah', 'राह']
['raaha', 'राह']
['raahe', 'राह']
['rahe', 'राह']
['rokar', 'रोकर']
['rishton', 'रिश्तों']
['rishtey', 'रिश्ते']
['rishte', 'रिश्ते']
['rahte', 'रहते']
['rahate', 'रहते']
['rehte', 'रहते']
['rehtee', 'रहते']
['rahete', 'रहते']
['rehate', 'रहते']
['rehtey', 'रहते']
['rahetey', 'रहते']
['rahi', 'राही']
['raahii', 'राही']
['raahi', 'राही']
['rahee', 'राही']
['raahee', 'राही']
['rahane', 'रहने']
['rehne', 'रहने']
['rahene', 'रहने']
['rehane', 'रहने']
['rahne', 'रहने']
['rehene', 'रहने']
['rachaaye', 'रचाये']
['raahon', 'राहों']
['raho', 'राहों']
['rahon', 'राहों']
['raaho', 'राहों']
['rahoon', 'राहों']
['ruuh', 'रूह']
['ruh', 'रूह']
['ruhu', 'रूह']
['rahakar', 'रहकर']
['rehkar', 'रहकर']
['rehakar', 'रहकर']
['rahkar', 'रहकर']
['roz', 'रोज़']
['rahe', 'रहे']
['rehe', 'रहे']
['rahee', 'रहे']
['rahaa', 'रहा']
['raha', 'रहा']
['rahan', 'रहा']
['raho', 'रहो']
['rahoo', 'रहो']
['rote', 'रोते']
['roote', 'रोते']
['raastaa', 'रास्ता']
['raasta', 'रास्ता']
['rasta', 'रास्ता']
