['sulgeh', 'सुलगे']
['sulage', 'सुलगे']
['sulge', 'सुलगे']
['samaa', 'समा']
['sama', 'समा']
['samah', 'समा']
['saman', 'समा']
['samma', 'समा']
['samaan', 'समा']
['samay', 'समा']
['sitaare', 'सितारे']
['sitare', 'सितारे']
['sithaare', 'सितारे']
['sitaaren', 'सितारे']
['sitarey', 'सितारे']
['seetaare', 'सितारे']
['sitaren', 'सितारे']
['se', 'से']
['see', 'से']
['saagar', 'सागर']
['sagar', 'सागर']
['sapane', 'सपने']
['sapne', 'सपने']
['sapanen', 'सपने']
['sundar', 'सुन्दर']
['sunder', 'सुन्दर']
['sada', 'सदा']
['sadaa', 'सदा']
['sadha', 'सदा']
['sadai', 'सदा']
['saavan', 'सावन']
['saawan', 'सावन']
['sawan', 'सावन']
['savan', 'सावन']
['saavana', 'सावन']
['saavn', 'सावन']
['sur', 'सुर']
['sabse', 'सबसे']
['sabase', 'सबसे']
['si', 'सी']
['se', 'सी']
['sii', 'सी']
['see', 'सी']
['soyi', 'सी']
['sandesa', 'सन्देसा']
['sandesaa', 'सन्देसा']
['sapan', 'सपन']
['sapana', 'सपन']
['suhaana', 'सुहाना']
['suhana', 'सुहाना']
['suhaanaa', 'सुहाना']
['sikha', 'सिखा']
['sikhaa', 'सिखा']
['sikha', 'सीखा']
['seekha', 'सीखा']
['siikhaa', 'सीखा']
['sikhaa', 'सीखा']
['seekhaa', 'सीखा']
['sone', 'सोने']
['subah', 'सुबह']
['subh', 'सुबह']
['suboh', 'सुबह']
['subha', 'सुबह']
['subaah', 'सुबह']
['subaha', 'सुबह']
['subho', 'सुबह']
['subaho', 'सुबह']
['salona', 'सलोना']
['salonaa', 'सलोना']
['saawala', 'साँवला']
['saanvala', 'साँवला']
['saanwala', 'साँवला']
['sang', 'संग']
['sung', 'संग']
['sangh', 'संग']
['sanng', 'संग']
['sanga', 'संग']
['saang', 'संग']
['samajhe', 'समझे']
['samjhe', 'समझे']
['samje', 'समझे']
['soi', 'सोई']
['soyi', 'सोई']
['sooyi', 'सोई']
['sangdil', 'संगदिल']
['sangadil', 'संगदिल']
['sanam', 'सनम']
['sanma', 'सनम']
['saamna', 'सामना']
['saamana', 'सामना']
['saamanaa', 'सामना']
['samana', 'सामना']
['shaam', 'शाम']
['sham', 'शाम']
['shama', 'शाम']
['shamo', 'शाम']
['sooraj', 'सूरज']
['suraj', 'सूरज']
['suuraj', 'सूरज']
['shakhon', 'शाखों']
['shaakhon', 'शाखों']
['sahraon', 'सहरों']
['saharon', 'सहरों']
['safar', 'सफ़र']
['safa', 'सफ़ा']
['samjha', 'समझा']
['samajhaa', 'समझा']
['samajha', 'समझा']
['samjhaa', 'समझा']
['samja', 'समझा']
['samaja', 'समझा']
['shukar', 'शुक्र']
['shukr', 'शुक्र']
['shukra', 'शुक्र']
['shukrr', 'शुक्र']
['samajh', 'समझ']
['samaj', 'समझ']
['samje', 'समझ']
['samjh', 'समझ']
['saj', 'सज']
['saja', 'सज']
['sari', 'सारी']
['saari', 'सारी']
['saarii', 'सारी']
['saaree', 'सारी']
['shaadi', 'सारी']
['saree', 'सारी']
['saare', 'सारी']
['saara', 'सारी']
['sarhi', 'सारी']
['satrangi', 'सतरंगी']
['satarangii', 'सतरंगी']
['satrangii', 'सतरंगी']
['satarangi', 'सतरंगी']
['saaya', 'साया']
['saayaa', 'साया']
['saya', 'साया']
['saiya', 'साया']
['saans', 'साँस']
['saas', 'साँस']
['saaans', 'साँस']
['saanson', 'साँस']
['sulagne', 'सुलगने']
['sulagane', 'सुलगने']
['sargoshi', 'सरगोशी']
['saragoshi', 'सरगोशी']
['saamne', 'सामने']
['samne', 'सामने']
['saamane', 'सामने']
['samane', 'सामने']
['sammne', 'सामने']
['saare', 'सारे']
['sarhey', 'सारे']
['saaare', 'सारे']
['sare', 'सारे']
['saaree', 'सारे']
['sahaare', 'सारे']
['shaan', 'शान']
['shan', 'शान']
['salaam', 'सलाम']
['salaame', 'सलाम']
['salaama', 'सलाम']
['salam', 'सलाम']
['sochane', 'सोचने']
['sochney', 'सोचने']
['sochne', 'सोचने']
['soch', 'सोच']
['sochte', 'सोच']
['sochke', 'सोच']
['sochlo', 'सोच']
['saathiyaa', 'साथिया']
['saathiya', 'साथिया']
['saathiyan', 'साथिया']
['sathiya', 'साथिया']
['saathiyaan', 'साथिया']
['sachche', 'सच्चे']
['sacche', 'सच्चे']
['saccche', 'सच्चे']
['sinaa', 'सीना']
['seena', 'सीना']
['seenaa', 'सीना']
['siinaa', 'सीना']
['sina', 'सीना']
['sunasaan', 'सुनसान']
['sunsaan', 'सुनसान']
['sunsan', 'सुनसान']
['sab', 'सब']
['sub', 'सब']
['sabh', 'सब']
['saba', 'सब']
['sarataaj', 'सरताज']
['sartaaj', 'सरताज']
['sukh', 'सुख']
['sangi', 'संगी']
['sar', 'सर']
['sare', 'सर']
['sarr', 'सर']
['sir', 'सर']
['sara', 'सर']
['sarf', 'सर']
['suniye', 'सुनिए']
['sapno', 'सपनों']
['sapanon', 'सपनों']
['sapnon', 'सपनों']
['sapnoin', 'सपनों']
['sapano', 'सपनों']
['sapnoon', 'सपनों']
['sapnoo', 'सपनों']
['sajna', 'सजना']
['sajanaa', 'सजना']
['sajana', 'सजना']
['sajanaaa', 'सजना']
['sajnaa', 'सजना']
['shuru', 'शुरू']
['shuruu', 'शुरू']
['sa', 'सा']
['saa', 'सा']
['sam', 'सा']
['sham', 'सा']
['saal', 'सा']
['sab', 'सा']
['sau', 'सा']
['sar', 'सा']
['siva', 'सिवा']
['sivaa', 'सिवा']
['siwa', 'सिवा']
['siwaa', 'सिवा']
['siwan', 'सिवा']
['soye', 'सोये']
['sulaaye', 'सुलाये']
['shor', 'शोर']
['sor', 'शोर']
['so', 'सो']
['soo', 'सो']
['sajni', 'सजनी']
['sajani', 'सजनी']
['sajanii', 'सजनी']
['sandhya', 'संध्या']
['sandhyaa', 'संध्या']
['saal', 'साल']
['sal', 'साल']
['seene', 'सीने']
['sine', 'सीने']
['siine', 'सीने']
['seeney', 'सीने']
['suunaa', 'सूना']
['suuna', 'सूना']
['sunaa', 'सूना']
['suna', 'सूना']
['soona', 'सूना']
['sapana', 'सपना']
['sapanaa', 'सपना']
['sapnaa', 'सपना']
['sapna', 'सपना']
['sadiyon', 'सदियों']
['sadiyo', 'सदियों']
['saadiyon', 'सदियों']
['sadhiyon', 'सदियों']
['suun', 'सूँ']
['sanvariya', 'सँवरिया']
['sanwariya', 'सँवरिया']
['saajana', 'साजना']
['saajanaa', 'साजना']
['saajnaa', 'साजना']
['saajna', 'साजना']
['sajana', 'साजना']
['sajanaa', 'साजना']
['sajna', 'साजना']
['sanjana', 'साजना']
['saugaatein', 'सौगातें']
['saugaate', 'सौगातें']
['saugaaten', 'सौगातें']
['sajaaye', 'सजाए']
['sajaae', 'सजाए']
['sajaye', 'सजाए']
['sandesaa', 'संदेसा']
['sandesa', 'संदेसा']
['saaf', 'साफ़']
['samajhaaye', 'समझाए']
['samjhaaye', 'समझाए']
['samjaaye', 'समझाए']
['samajhaae', 'समझाए']
['samjhaye', 'समझाए']
['sambhaala', 'सम्भाला']
['sambhala', 'सम्भाला']
['sambhaalaa', 'सम्भाला']
['sahi', 'सही']
['sahii', 'सही']
['sahee', 'सही']
['sehi', 'सही']
['sarakaar', 'सरकार']
['sarkar', 'सरकार']
['sarkaar', 'सरकार']
['suut', 'सूट']
['sut', 'सूट']
['soot', 'सूट']
['saaki', 'साकी']
['sabhi', 'सभी']
['sabi', 'सभी']
['soja', 'सोजा']
